"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"FC831CBD1AECC57A","classic_bike","2022-09-05 22:55:17","2022-09-05 22:55:29","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.77523486860597,-122.39743709564209,37.77523486860597,-122.39743709564209,"member"
"D7F7312A9DB6B842","classic_bike","2022-09-05 19:54:10","2022-09-05 20:01:19","Cahill Park","SJ-M6","Cahill Park","SJ-M6",37.32911866814779,-121.90457582473755,37.32911866814779,-121.90457582473755,"member"
"5EA5B105C8B89A3B","electric_bike","2022-09-21 18:12:25","2022-09-21 18:14:48","24th St at Chattanooga St","SF-Q21-2","Jersey St at Castro St","SF-R19",37.75179283333333,-122.42647466666666,37.750506,-122.4339496,"member"
"9E4D1442F10CE314","electric_bike","2022-09-27 18:39:43","2022-09-27 18:40:04","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.77523466666667,-122.39750483333333,37.77523486860597,-122.39743709564209,"member"
"328128963BED56A7","classic_bike","2022-09-17 14:46:29","2022-09-17 14:56:32","Cahill Park","SJ-M6","Parkmoor Ave at Race St","SJ-O4",37.32911866814779,-121.90457582473755,37.316736478493425,-121.91000461578369,"member"
"53E91280457C58FC","classic_bike","2022-09-23 23:54:42","2022-09-24 00:16:49","Cahill Park","SJ-M6","Cahill Park","SJ-M6",37.32911866814779,-121.90457582473755,37.32911866814779,-121.90457582473755,"member"
"8205D4868D25DDE3","classic_bike","2022-09-10 17:33:41","2022-09-10 17:40:33","Cahill Park","SJ-M6","Cahill Park","SJ-M6",37.32911866814779,-121.90457582473755,37.32911866814779,-121.90457582473755,"member"
"1523E697A3BCAABD","electric_bike","2022-09-19 19:02:44","2022-09-19 19:03:11","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.775179,-122.39749066666667,37.77523486860597,-122.39743709564209,"member"
"A21CE1A92F91E54B","electric_bike","2022-09-15 13:11:10","2022-09-15 13:11:26","Cahill Park","SJ-M6","Cahill Park","SJ-M6",37.329067333333334,-121.90471466666666,37.32911866814779,-121.90457582473755,"member"
"6A537DD8968B5636","electric_bike","2022-09-20 13:25:04","2022-09-20 13:25:26","24th St at Chattanooga St","SF-Q21-2","24th St at Chattanooga St","SF-Q21-2",37.751745666666665,-122.42658183333333,37.7518194,-122.4266139,"member"
"34120B2BF96ECB09","electric_bike","2022-09-27 21:10:13","2022-09-27 21:18:15","24th St at Chattanooga St","SF-Q21-2","24th St at Chattanooga St","SF-Q21-2",37.7517535,-122.4263935,37.7518194,-122.4266139,"member"
"5BDDBE7409C98FC5","electric_bike","2022-09-14 19:21:55","2022-09-14 19:22:26","24th St at Chattanooga St","SF-Q21-2","24th St at Chattanooga St","SF-Q21-2",37.751793,-122.426679,37.7518194,-122.4266139,"member"
"62BFAB31717F90E1","classic_bike","2022-09-05 18:54:40","2022-09-05 19:04:17","Auzerais Ave at Lincoln Ave","SJ-N5-2","Cahill Park","SJ-M6",37.32096853145443,-121.90829604864119,37.32911866814779,-121.90457582473755,"casual"
"6E0957087577D3BA","classic_bike","2022-09-17 15:59:10","2022-09-17 17:07:59","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.77523486860597,-122.39743709564209,37.77523486860597,-122.39743709564209,"casual"
"E29CE8A04DACFFE0","classic_bike","2022-09-15 19:16:09","2022-09-15 19:22:43","Cahill Park","SJ-M6","Auzerais Ave at Lincoln Ave","SJ-N5-2",37.32911866814779,-121.90457582473755,37.32096853145443,-121.90829604864119,"casual"
"E98BCAAF086941CC","electric_bike","2022-09-19 18:06:27","2022-09-19 18:19:29","24th St at Chattanooga St","SF-Q21-2","24th St at Chattanooga St","SF-Q21-2",37.75169754,-122.426581025,37.7518194,-122.4266139,"casual"
"AF6C716814199DE1","electric_bike","2022-09-09 16:30:25","2022-09-09 16:50:31","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.775113,-122.39760766666667,37.77523486860597,-122.39743709564209,"casual"
"CC6A15F7211EB308","electric_bike","2022-09-16 03:29:56","2022-09-16 04:03:40","Auzerais Ave at Lincoln Ave","SJ-N5-2","Auzerais Ave at Lincoln Ave","SJ-N5-2",37.321003,-121.90805433333334,37.32096853145443,-121.90829604864119,"casual"
"67CEB575F17DD7A9","classic_bike","2022-09-23 18:57:23","2022-09-23 19:01:41","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.77523486860597,-122.39743709564209,37.77523486860597,-122.39743709564209,"casual"
"D6B8CFD8C20D484C","classic_bike","2022-09-10 08:00:16","2022-09-10 08:00:27","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.77523486860597,-122.39743709564209,37.77523486860597,-122.39743709564209,"casual"
"ED302732C33EEC85","classic_bike","2022-09-19 16:34:40","2022-09-19 17:05:48","28th Ave at Geary Blvd","SF-G6","28th Ave at Geary Blvd","SF-G6",37.779673,-122.48797,37.779673,-122.48797,"casual"
"D2BCFCC62223DD2B","classic_bike","2022-09-19 07:37:56","2022-09-19 07:47:52","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.77523486860597,-122.39743709564209,37.77523486860597,-122.39743709564209,"casual"
"C3067163929D986E","electric_bike","2022-09-19 07:38:03","2022-09-19 07:48:39","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.775248500000004,-122.39747816666667,37.77523486860597,-122.39743709564209,"casual"
"38213D0DF61AA51F","classic_bike","2022-09-09 14:31:42","2022-09-09 14:32:06","Townsend St at 5th St","SF-K28","Townsend St at 5th St","SF-K28",37.77523486860597,-122.39743709564209,37.77523486860597,-122.39743709564209,"member"
